language_name,Deutsch
VoltorbFlip_Tutorial_HowToPlay_Image1,If you flip the cards in this order, you'll collect: 3 x 1 x 2 x 1 x 3...~A total of 18 Coins! And then...
VoltorbFlip_Tutorial_HowToPlay_Image2,If you select "Quit", you'll keep those 18 Coins.
VoltorbFlip_Tutorial_HowToPlay_Image3,But if you find Voltorb, you'll lose all your Coins!
VoltorbFlip_Tutorial_Hint_Image,By looking at the numbers on the sides of the cards, you can see the hidden number and Voltorb totals.
VoltorbFlip_Tutorial_AboutMemos_Image,Select "Open Memo" to open the Memo Window. Select the cards and press [<system.button(enter1)>] to add and [<system.button(back1)>] to remove marks.
----
PokedexScreen
pokedex_seen,Gesehen:
pokedex_obtained,Gefangen:
pokedex_available,Verfügbar:
pokedex_select,Wähle einen Pokédex
pokedex_habitat_dex_name,Habitat-Dex
pokedex_habitat_select,Wähle ein Habitat
pokedex_order,Sortiert
pokedex_order_type,Type
pokedex_order_numeric,Nr.
pokedex_order_alphabetically,A-Z
pokedex_order_height,Größe
pokedex_order_weight,Gewicht
pokedex_order_reverse,Reverse
pokedex_filter,Filter
pokedex_filter_none,-
pokedex_filter_name,Name
pokedex_filter_type1,Typ 1
pokedex_filter_type2,Typ 2
pokedex_search_hint,Suche: [<system.button(special)>] oder SELECT
pokedex_search_no_results,Keine Ergebnisse.
pokedex_data_species,Spezies
pokedex_data_type,Typ
pokedex_data_height,Größe
pokedex_data_weight,Gewicht
pokedex_data_form_switch_hint,Press [Shift] to switch forms
pokedex_data_page_details,Details
pokedex_data_page_habitat,Habitat
pokedex_data_page_evolution,Evolution
pokedex_habitat_area_unknown,Gebiet unbekannt.
pokedex_evolution_no_evolutions,entwickelt sich nicht.
----
Receiving Items:
item_received_single,<Player.Name> erhält~
item_received_multiple,<Player.Name> erhält~
item_found,<Player.Name> findet~
item_stored_in_pocket_single_start,<Player.Name> packt das Item in~die 
item_stored_in_pocket_single_end,Tasche.
item_stored_in_pocket_multiple_start,<Player.Name> packt die Items in~die
item_stored_in_pocket_multiple_end,Tasche.
item_handed_over_single,<Player.Name> handed over the~
item_handed_over_multiple,<Player.Name> handed over the~

Berries:
berry_picked_single_start,<Player.Name> picked the~
berry_picked_single_end,Berry.
berry_picked_multiple_start,<Player.Name> picked the~
berry_picked_multiple_end,Berries.
----
Battle:
battle_trainer_about_to_send_out_1,wird
battle_trainer_about_to_send_out_2,in den Kampf schicken!~Möchtest du dein Pokémon wechseln?
battle_choose_pokemon,Wähle ein Pokémon
battle_switch_already_in_battle,is already~in battle!
battle_switch_fainted,is fainted!
battle_switch_egg,Cannot switch in~the egg!
battle_cannot_switch,Cannot switch out.
battle_cannot_run,Failed to run away.
battle_cannot_run_ability,Failed to run away because of~
battle_MoveDisabled,Disabled!
battle_NoMoreRoomInPC,There's no more room for~Pokémon in the PC!
battle_NoSafariBalls,No Safari Balls.
battle_NoSportBalls,No Sport Balls.
battle_ThrowMud,Throw Mud
battle_ThrowBait,Throw Bait
battle_Run,Flucht
battle_Battle,Kampf
battle_Bag,Beutel
battle_Surrender,Aufgeben
battle_action_MegaEvolve,Mega Evolve!
---
Badges:
badge_Boulder,Fels
badge_Cascade,Quell
badge_Thunder,Donner
badge_Rainbow,Farb
badge_Soul,Seelen
badge_Marsh,Sumpf
badge_Volcano,Vulkan
badge_Earth,Erd
badge_Zephyr,Flügel
badge_Hive,Insekt
badge_Plain,Basis
badge_Fog,Phantom
badge_Storm,Faust
badge_Mineral,Stahl
badge_Glacier,Eis
badge_Rising,Drachen
---
Regions:
Johto,Johto
Kanto,Kanto
Sevii Islands,Sevii-Inseln
---
Places:
Places_???,???

Towns:
Places_New Bark Town,Neuborkia
Places_Cherrygrove City,Rosalia City
Places_Violet City,Viola City
Places_Azalea Town,Azalea City
Places_Goldenrod City,Dukatia City
Places_Ecruteak City,Teak City
Places_Olivine City,Oliviana City
Places_Cianwood City,Anemonia City
Places_Mahogany Town,Mahagonia City
Places_Blackthorn City,Ebenholz City
Places_Pallet Town,Alabastia
Places_Viridian City,Vertania City
Places_Saffron City,Saffronia City
Places_Pewter City,Marmoria City
Places_Cerulean City,Azuria City
Places_Celadon City,Prismania City
Places_Vermilion City,Orania City
Places_Fuchsia City,Fuchsania City
Places_Cinnabar Island,Zinnoberinsel
Places_Lavender Town,Lavandia
Places_One Island,Eiland Eins
Places_Two Island,Eiland Zwei
Places_Three Island,Eiland Drei
Places_Four Island,Eiland Vier
Places_Five Island,Eiland Fünf
Places_Six Island,Eiland Sechs
Places_Seven Island,Eiland Sieben

Special Houses:
Places_Gate,Tor
Places_Pokemon Center,Pokémon Center
Places_Pokemon Mart,Pokémon Markt
Places_Elms lab,Elm's Labor
Places_Oak's lab,Oak's Labor
Places_Azalea Town Gym,Azalea Arena
Places_Violet City Gym,Violet Arena
Places_Goldenrod City Gym,Dukatia Arena
Places_Ecruteak City Gym,Teak City Gym
Places_Cianwood City Gym,Anemonia City Gym
Places_Olivine City Gym,Oliviana City Gym
Places_Mahogany City Gym,Mahagonia City Gym
Places_Blackthorn City Gym,Ebenholz City Gym
Places_Your House,Dein Haus
Places_Your Room,Dein Zimmer
Places_Daycare,Pension
Places_Pewter City Gym,Marmoria City Gym
Places_Cerulean City Gym,Azuria City Gym
Places_Vermilion City Gym,Orania City Gym
Places_Celadon City Gym,Prismania City Gym
Places_Fuchsia City Gym,Fuchsania City Gym
Places_Saffron City Gym,Saffronia City Gym
Places_Cinnabar Gym,Zinnober Gym
Places_Viridian City Gym,Vertania City Gym
Places_Dance Theater,Tanztheater
Places_Lighthouse,Leuchtturm
Places_Team Rocket HQ,Team Rocket HQ
Places_Radio Tower,Radioturm
Places_Seaplane Port,Wasserflugzeug-Hafen

Dungeons:
Places_Ilex Forest,Steineichenwald
Places_Dark Cave,Dunkelhöhle
Places_Ruins of Alph,Alph-Ruinen
Places_Slowpoke Well,Flegmon-Brunnen
Places_Sprout Tower,Knofensa-Turm
Places_Union Cave,Einheitstunnel
Places_Mt. Mortar,Kesselberg
Places_Bell Tower,Glockenturm
Places_Tin Tower,Zinnturm
Places_Tin Tower Peak,Zinnturmspitze
Places_Burned Tower,Turnruine
Places_Glitter Lighthouse,Leuchtturm
Places_Ice Path,Eispfad
Places_National Park,Nationalpark
Places_Whirl Islands,Strudelinseln
Places_Lake of Rage,See des Zorns
Places_Underground,Untergrund
Places_Dragon's Den,Drachenhöhle
Places_Tohjo Falls,Tohjo-Fälle
Places_Victory Road,Siegesstraße
Places_Mt. Silver,Silberberg
Places_Diamond Dive,Diamant-Tauchgang
Places_Indigo Plateau,Indigo Plateau
Places_Safari Zone,Safari-Zone
Places_Viridian Forest,Vertania-Wald
Places_Cerulean Cave,Azuria-Höhle
Places_Power Plant,Kraftwerk
Places_Rock Tunnel,Felstunnel
Places_Seafoam Islands,Seeschauminseln
Places_Pal Park,Park der Freunde
Places_Diglett's Cave,Digdas Höhle
Places_Mt. Moon,Mondberg
Places_Mt. Ember,Glutberg
Places_Three Isle Path,Drei-Eiland-Pfad
Places_Berry Forest,Beerenforst
Places_Icefall Cave,Eiskaskadenhöhle
Places_Lost Cave,Verlorene Höhle
Places_Trainer Tower,Trainerturm
Places_Altering Cave,Wandelhöhle
Places_Pattern Bush,Musterbuschwald
Places_Dotted Hole,Punktloch
Places_Tanoby Chambers,Tanibo-Kammern
Places_Tanoby Key,Tanibo-Schlüssel
Places_Monean Chamber,Monean-Kammer
Places_Liptoo Chamber,Liptoo-Kammer
Places_Weepth Chamber,Weepth-Kammer
Places_Dilford Chamber,Dilford-Kammer
Places_Scrufib Chamber,Scrufib-Kammer
Places_Rixy Chamber,Rixy-Kammer
Places_Viapois Chamber,Viapois-Kammer
Places_Ancient Ruins,Antike Ruinen
Places_Millennial Star Tower,Millennial-Sternenturm
Places_Kolben Tower,Kolben-Turm
Places_Faraway Island,Ferneiland
Places_Underwater Cave,Unterwasser-Höhle
Places_Embedded Tower,Felsenherzturm
Places_Liberty Garden,Freiheitsgarten

Routes:
Places_Route 1,Route 1
Places_Route 2,Route 2
Places_Route 3,Route 3
Places_Route 4,Route 4
Places_Route 5,Route 5
Places_Route 6,Route 6
Places_Route 7,Route 7
Places_Route 8,Route 8
Places_Route 9,Route 9
Places_Route 10,Route 10
Places_Route 11,Route 11
Places_Route 12,Route 12
Places_Route 13,Route 13
Places_Route 14,Route 14
Places_Route 15,Route 15
Places_Route 16,Route 16
Places_Route 17,Route 17
Places_Route 18,Route 18
Places_Route 19,Route 19
Places_Route 20,Route 20
Places_Route 21,Route 21
Places_Route 22,Route 22
Places_Route 23,Route 23
Places_Route 24,Route 24
Places_Route 25,Route 25
Places_Route 26,Route 26
Places_Route 27,Route 27
Places_Route 28,Route 28
Places_Route 29,Route 29
Places_Route 30,Route 30
Places_Route 31,Route 31
Places_Route 32,Route 32
Places_Route 33,Route 33
Places_Route 34,Route 34
Places_Route 35,Route 35
Places_Route 36,Route 36
Places_Route 37,Route 37
Places_Route 38,Route 38
Places_Route 39,Route 39
Places_Route 40,Route 40
Places_Route 41,Route 41
Places_Route 42,Route 42
Places_Route 43,Route 43
Places_Route 44,Route 44
Places_Route 45,Route 45
Places_Route 46,Route 46
Places_Route 47,Route 47
Places_Route 48,Route 48
Places_Route 49,Route 49
Places_Route 50,Route 50

Places_Treasure Beach,Treasure Beach
Places_Kindle Road,Kindle Road
Places_Cape Brink,Cape Brink
Places_Three Isle Port,Three Isle Port
Places_Bond Bridge,Bond Bridge
Places_Five Isle Meadow,Five Isle Meadow
Places_Memorial Pillar,Memorial Pillar
Places_Water Labyrinth,Water Labyrinth
Places_Resort Gorgeous,Resort Gorgeous
Places_Water Path,Water Path
Places_Green Path,Green Path
Places_Outcast Island,Outcast Island
Places_Ruin Valley,Ruin Valley
Places_Tower Straits,Tower Straits
Places_Canyon Entrance,Canyon Entrance
Places_Sevault Canyon,Sevault Canyon
Places_Tanoby Ruins,Tanoby Ruins
Places_Safari Zone Gate,Safari Zone Gate
Places_S.S. Aqua,S.S. Aqua
Places_Elite 4,Elite 4
Places_Indigo Plateau,Indigo Plateau
Places_Twirl Forest,Twirl Forest
Places_Berry Vista,Berry Vista
Places_Frontier Plaza,Frontier Plaza
Places_Battle Frontier,Battle Frontier
Places_Battle Tower,Battle Tower
Places_Battle Factory,Battle Factory
Places_Battle Pike,Battle Pike
Places_Battle Hall,Battle Hall
Places_Battle Castle,Battle Castle
Places_Battle Dome,Battle Dome
Places_Rocket Warehouse,Rocket Warehouse
Places_Secret Laboratory,Secret Laboratory
---
Item categories:
item_category_Standard,Items
item_category_Medicine,Medizin
item_category_Machines,TMs/VMs
item_category_Pokéballs,Pokébälle
item_category_Plants,Pflanzen
item_category_KeyItems,Basis-Items
item_category_BattleItems,Kampf-Items
item_category_Mail,Briefe
---
GameMessages:
game_message_screenshot,Screenshot wurde in Pokemon3D\screenshots gespeichert als
game_message_screenshot_failed,Screenshot konnte nicht erstellt werden!
game_message_fullscreen_on,Vollbildmodus aktiviert
game_message_fullscreen_off,Vollbildmodus deaktiviert
game_message_third_person_on,Third-Person Modus aktiviert
game_message_third_person_off,Third-Person Modus deaktiviert
game_message_free_camera_on,Freie Kamerabewegung aktiviert
game_message_free_camera_off,Freie Kamerabewegung deaktiviert
game_message_sandbox_mode_on,Sandbox mode on
game_message_sandbox_mode_off,Sandbox mode off
game_message_audio_on,Audio on
game_message_audio_off,Audio off
game_message_continue_autosave,Continued save state:
game_message_debug_texture_list_clear,Texture list was cleared
---
Pokemon:
pokemon_name_Bulbasaur,Bisasam
pokemon_name_Ivysaur,Bisaknosp
pokemon_name_Venusaur,Bisaflor
pokemon_name_Charmander,Glumanda
pokemon_name_Charmeleon,Glutexo
pokemon_name_Charizard,Glurak
pokemon_name_Squirtle,Schiggy
pokemon_name_Wartortle,Schillok
pokemon_name_Blastoise,Turtok
pokemon_name_Caterpie,Raupy
pokemon_name_Metapod,Safcon
pokemon_name_Butterfree,Smettbo
pokemon_name_Weedle,Hornliu
pokemon_name_Kakuna,Kokuna
pokemon_name_Beedrill,Bibor
pokemon_name_Pidgey,Taubsi
pokemon_name_Pidgeotto,Tauboga
pokemon_name_Pidgeot,Tauboss
pokemon_name_Rattata,Rattfratz
pokemon_name_Raticate,Rattikarl
pokemon_name_Spearow,Habitak
pokemon_name_Fearow,Ibitak
pokemon_name_Ekans,Rettan
pokemon_name_Arbok,Arbok
pokemon_name_Pikachu,Pikachu
pokemon_name_Raichu,Raichu
pokemon_name_Sandshrew,Sandan
pokemon_name_Sandshlash,Sandamer
pokemon_name_Nidoran♀,Nidoran♀
pokemon_name_Nidorina,Nidorina
pokemon_name_Nidoqueen,Nidoqueen
pokemon_name_Nidoran♂,Nidoran♂
pokemon_name_Nidorino,Nidorino
pokemon_name_Nidoking,Nidoking
pokemon_name_Clefairy,Piepi
pokemon_name_Clefable,Pixi
pokemon_name_Vulpix,Vulpix
pokemon_name_Ninetails,Vulnona
pokemon_name_Jigglypuff,Pummeluff
pokemon_name_Wigglytuff,Knuddeluff
pokemon_name_Zubat,Zubat
pokemon_name_Golbat,Golbat
pokemon_name_Oddish,Myrapla
pokemon_name_Gloom,Duflor
pokemon_name_Vileplume,Giflor
pokemon_name_Paras,Paras
pokemon_name_Parasect,Parasek
pokemon_name_Venonat,Bluzuk
pokemon_name_Venomoth,Omot
pokemon_name_Diglett,Digda
pokemon_name_Dugtrio,Digdri
pokemon_name_Meowth,Mauzi
pokemon_name_Persian,Snobilikat
pokemon_name_Psyduck,Enton
pokemon_name_Golduck,Entoron
pokemon_name_Mankey,Menki
pokemon_name_Primeape,Rasaff
pokemon_name_Growlithe,Fukano
pokemon_name_Arcanine,Arkani
pokemon_name_Poliwag,Quapsel
pokemon_name_Poliwhirl,Quaputzi
pokemon_name_Poliwrath,Quappo
pokemon_name_Abra,Abra
pokemon_name_Kadabra,Kadabra
pokemon_name_Alakazam,Simsala
pokemon_name_Machop,Machollo
pokemon_name_Machoke,Maschok
pokemon_name_Machamp,Machomei
pokemon_name_Bellsprout,Knofensa
pokemon_name_Weepinbell,Ultrigaria
pokemon_name_Victreebel,Sarzenia
pokemon_name_Tentacool,Tentacha
pokemon_name_Tentacruel,Tentoxa
pokemon_name_Geodude,Kleinstein
pokemon_name_Graveler,Georok
pokemon_name_Golem,Geowaz
pokemon_name_Ponyta,Ponita
pokemon_name_Rapidash,Gallopa
pokemon_name_Slowpoke,Flegmon
pokemon_name_Slowbro,Lahmus
pokemon_name_Magnemite,Magnetilo
pokemon_name_Magneton,Magneton
pokemon_name_Farfetch'd,Porenta
pokemon_name_Doduo,Dodu
pokemon_name_Dodrio,Dodri
pokemon_name_Seel,Jurob
pokemon_name_Dewgong,Jugong
pokemon_name_Grimer,Sleima
pokemon_name_Muk,Sleimok
pokemon_name_Shellder,Muschas
pokemon_name_Cloyster,Austos
pokemon_name_Gastly,Nebulak
pokemon_name_Haunter,Alpollo
pokemon_name_Gengar,Gengar
pokemon_name_Onix,Onix
pokemon_name_Drowzee,Traumato
pokemon_name_Hypno,Hypno
pokemon_name_Krabby,Krabby
pokemon_name_Kingler,Kingler
pokemon_name_Voltorb,Voltobal
pokemon_name_Electrode,Lektrobal
pokemon_name_Exeggcute,Owei
pokemon_name_Exeggutor,Kokowei
pokemon_name_Cubone,Tragosso
pokemon_name_Marowak,Knogga
pokemon_name_Hitmonlee,Kicklee
pokemon_name_Hitmonchan,Nockchan
pokemon_name_Lickitung,Schlurp
pokemon_name_Koffing,Smogon
pokemon_name_Weezing,Smogmog
pokemon_name_Rhyhorn,Rihorn
pokemon_name_Rhydon,Rizeros
pokemon_name_Chansey,Chaneira
pokemon_name_Tangela,Tangela
pokemon_name_Kangaskhan,Kangama
pokemon_name_Horsea,Seeper
pokemon_name_Seedra,Seemon
pokemon_name_Goldeen,Goldini
pokemon_name_Seaking,Golking
pokemon_name_Staryu,Sterndu
pokemon_name_Starmie,Starmie
pokemon_name_Mr. Mime,Pantimos
pokemon_name_Scyther,Sichlor
pokemon_name_Jynx,Rossana
pokemon_name_Electabuzz,Elektek
pokemon_name_Magmar,Magmar
pokemon_name_Pinsir,Pinsir
pokemon_name_Tauros,Tauros
pokemon_name_Magikarp,Karpador
pokemon_name_Gyarados,Garados
pokemon_name_Lapras,Lapras
pokemon_name_Ditto,Ditto
pokemon_name_Eevee,Evoli
pokemon_name_Vaporeon,Aquana
pokemon_name_Jolteon,Blitza
pokemon_name_Flareon,Flamara
pokemon_name_Porygon,Porygon
pokemon_name_Omanyte,Amonitas
pokemon_name_Omastar,Amoroso
pokemon_name_Kabuto,Kabuto
pokemon_name_Kabutops,Kabutops
pokemon_name_Aerodactyl,Aerodactyl
pokemon_name_Snorlax,Relaxo
pokemon_name_Articuno,Arktos
pokemon_name_Zapdos,Zapdos
pokemon_name_Moltres,Lavados
pokemon_name_Dratini,Dratini
pokemon_name_Dragonair,Dragonir
pokemon_name_Dragonite,Dragoran
pokemon_name_Mewtwo,Mewtwo
pokemon_name_Mew,Mew
pokemon_name_Chikorita,Endivie
pokemon_name_Bayleef,Lorblatt
pokemon_name_Meganium,Meganie
pokemon_name_Cyndaquil,Feurigel
pokemon_name_Quilava,Igelava
pokemon_name_Typhlosion,Tornupto
pokemon_name_Totodile,Karnimani
pokemon_name_Croconaw,Tyracroc
pokemon_name_Feraligatr,Impergator
pokemon_name_Sentret,Wiesor
pokemon_name_Furret,Wiesenior
pokemon_name_Hoothoot,Hoothoot
pokemon_name_Noctowl,Noctuh
pokemon_name_Ledyba,Ledyba
pokemon_name_Ledian,Ledian
pokemon_name_Spinarak,Webarak
pokemon_name_Ariados,Ariados
pokemon_name_Crobat,Iksbat
pokemon_name_Chinchou,Lampi
pokemon_name_Lanturn,Lanturn
pokemon_name_Pichu,Pichu
pokemon_name_Cleffa,Pii
pokemon_name_Igglybuff,Fluffeluff
pokemon_name_Togepi,Togepi
pokemon_name_Togetic,Togetic
pokemon_name_Natu,Natu
pokemon_name_Xatu,Xatu
pokemon_name_Mareep,Voltilamm
pokemon_name_Flaaffy,Waaty
pokemon_name_Ampharos,Ampharos
pokemon_name_Bellossom,Blubella
pokemon_name_Marill,Marill
pokemon_name_Azumarill,Azumarill
pokemon_name_Sudowoodo,Mogelbaum
pokemon_name_Politoed,Quaxo
pokemon_name_Hoppip,Hoppsross
pokemon_name_Skiploom,Hubelupf
pokemon_name_Jumpluff,Papungha
pokemon_name_Aipom,Griffel
pokemon_name_Sunkern,Sonnkern
pokemon_name_Sunflora,Sonnflora
pokemon_name_Yanma,Yanma
pokemon_name_Wooper,Felino
pokemon_name_Quagsire,Morlord
pokemon_name_Espeon,Psiana
pokemon_name_Umbreon,Nachtara
pokemon_name_Murkrow,Kramurx
pokemon_name_Slowking,Laschoking
pokemon_name_Misdreavus,Traunfugil
pokemon_name_Unown,Icognito
pokemon_name_Wobbuffet,Woingenau
pokemon_name_Girafarig,Girafarig
pokemon_name_Pineco,Tannza
pokemon_name_Forretress,Forstellka
pokemon_name_Dunsparce,Dummisel
pokemon_name_Gligar,Skorgla
pokemon_name_Steelix,Stahlos
pokemon_name_Snubbull,Snubbull
pokemon_name_Granbull,Granbull
pokemon_name_Qwilfish,Baldorfish
pokemon_name_Scizor,Scherox
pokemon_name_Shuckle,Pottrott
pokemon_name_Heracross,Skaraborn
pokemon_name_Sneasel,Sniebel
pokemon_name_Teddiursa,Teddiursa
pokemon_name_Ursaring,Ursaring
pokemon_name_Slugma,Schneckmag
pokemon_name_Magcargo,Magcargo
pokemon_name_Swinub,Quiekel
pokemon_name_Piloswine,Keifel
pokemon_name_Corsola,Corasonn
pokemon_name_Remoraid,Remoraid
pokemon_name_Octillery,Octillery
pokemon_name_Delibird,Botogel
pokemon_name_Mantine,Mantax
pokemon_name_Skarmory,Panzaeron
pokemon_name_Houndour,Hunduster
pokemon_name_Houndoom,Hundemon
pokemon_name_Kingdra,Seedraking
pokemon_name_Phanpy,Phanpy
pokemon_name_Donphan,Donphan
pokemon_name_Porygon2,Porygon2
pokemon_name_Stantler,Damhirplex
pokemon_name_Smeargle,Farbeagle
pokemon_name_Tyrogue,Rabauz
pokemon_name_Hitmontop,Kapoera
pokemon_name_Smoochum,Kussila
pokemon_name_Elekid,Elekid
pokemon_name_Magby,Magby
pokemon_name_Miltank,Miltank
pokemon_name_Blissey,Heiteira
pokemon_name_Raikou,Raikou
pokemon_name_Entei,Entei
pokemon_name_Suicune,Suicune
pokemon_name_Larvitar,Larvitar
pokemon_name_Pupitar,Pupitar
pokemon_name_Tyranitar,Despotar
pokemon_name_Lugia,Lugia
pokemon_name_Ho-oh,Ho-oh
pokemon_name_Celebi,Celebi
pokemon_name_Treecko,Treecko
pokemon_name_Grovyle,Grovyle
pokemon_name_Sceptile,Sceptile
pokemon_name_Torchic,Torchic
pokemon_name_Combusken,Combusken
pokemon_name_Blaziken,Blaziken
pokemon_name_Mudkip,Mudkip
pokemon_name_Marshtomp,Marshtomp
pokemon_name_Swampert,Swampert
pokemon_name_Poochyena,Poochyena
pokemon_name_Mightyena,Mightyena
pokemon_name_Zigzagoon,Zigzagoon
pokemon_name_Linoone,Linoone
pokemon_name_Wurmple,Wurmple
pokemon_name_Silcoon,Silcoon
pokemon_name_Beautifly,Beautifly
pokemon_name_Cascoon,Cascoon
pokemon_name_Dustox,Dustox
pokemon_name_Lotad,Lotad
pokemon_name_Lombre,Lombre
pokemon_name_Ludicolo,Ludicolo
pokemon_name_Seedot,Seedot
pokemon_name_Nuzleaf,Nuzleaf
pokemon_name_Shiftry,Shiftry
pokemon_name_Taillow,Taillow
pokemon_name_Swellow,Swellow
pokemon_name_Wingull,Wingull
pokemon_name_Pelipper,Pelipper
pokemon_name_Ralts,Ralts
pokemon_name_Kirlia,Kirlia
pokemon_name_Gardevoir,Gardevoir
pokemon_name_Surskit,Surskit
pokemon_name_Masquerain,Masquerain
pokemon_name_Shroomish,Shroomish
pokemon_name_Breloom,Breloom
pokemon_name_Slakoth,Slakoth
pokemon_name_Vigoroth,Vigoroth
pokemon_name_Slaking,Slaking
pokemon_name_Nincada,Nincada
pokemon_name_Ninjask,Ninjask
pokemon_name_Shedinja,Shedinja
pokemon_name_Whismur,Whismur
pokemon_name_Loudred,Loudred
pokemon_name_Exploud,Exploud
pokemon_name_Makuhita,Makuhita
pokemon_name_Hariyama,Hariyama
pokemon_name_Azurill,Azurill
pokemon_name_Nosepass,Nosepass
pokemon_name_Skitty,Skitty
pokemon_name_Delcatty,Delcatty
pokemon_name_Sableye,Sableye
pokemon_name_Mawile,Mawile
pokemon_name_Aron,Aron
pokemon_name_Lairon,Lairon
pokemon_name_Aggron,Aggron
pokemon_name_Meditite,Meditite
pokemon_name_Medicham,Medicham
pokemon_name_Electrike,Electrike
pokemon_name_Manectric,Manectric
pokemon_name_Plusle,Plusle
pokemon_name_Minun,Minun
pokemon_name_Volbeat,Volbeat
pokemon_name_Illumise,Illumise
pokemon_name_Roselia,Roselia
pokemon_name_Gulpin,Gulpin
pokemon_name_Swalot,Swalot
pokemon_name_Carvanha,Carvanha
pokemon_name_Sharpedo,Sharpedo
pokemon_name_Wailmer,Wailmer
pokemon_name_Wailord,Wailord
pokemon_name_Numel,Numel
pokemon_name_Camerupt,Camerupt
pokemon_name_Torkoal,Torkoal
pokemon_name_Spoink,Spoink
pokemon_name_Grumpig,Grumpig
pokemon_name_Spinda,Spinda
pokemon_name_Trapinch,Trapinch
pokemon_name_Vibrava,Vibrava
pokemon_name_Flygon,Flygon
pokemon_name_Cacnea,Cacnea
pokemon_name_Cacturne,Cacturne
pokemon_name_Swablu,Swablu
pokemon_name_Altaria,Altaria
pokemon_name_Zangoose,Zangoose
pokemon_name_Seviper,Seviper
pokemon_name_Lunatone,Lunatone
pokemon_name_Solrock,Solrock
pokemon_name_Barboach,Barboach
pokemon_name_Whiscash,Whiscash
pokemon_name_Corphish,Corphish
pokemon_name_Crawdaunt,Crawdaunt
pokemon_name_Baltoy,Baltoy
pokemon_name_Claydol,Claydol
pokemon_name_Lileep,Lileep
pokemon_name_Cradily,Cradily
pokemon_name_Anorith,Anorith
pokemon_name_Armaldo,Armaldo
pokemon_name_Feebas,Feebas
pokemon_name_Milotic,Milotic
pokemon_name_Castform,Castform
pokemon_name_Kecleon,Kecleon
pokemon_name_Shuppet,Shuppet
pokemon_name_Banette,Banette
pokemon_name_Duskull,Duskull
pokemon_name_Dusclops,Dusclops
pokemon_name_Tropius,Tropius
pokemon_name_Chimecho,Chimecho
pokemon_name_Absol,Absol
pokemon_name_Wynaut,Wynaut
pokemon_name_Snorunt,Snorunt
pokemon_name_Glalie,Glalie
pokemon_name_Spheal,Spheal
pokemon_name_Sealeo,Sealeo
pokemon_name_Walrein,Walrein
pokemon_name_Clamperl,Clamperl
pokemon_name_Huntail,Huntail
pokemon_name_Gorebyss,Gorebyss
pokemon_name_Relicanth,Relicanth
pokemon_name_Luvdisc,Luvdisc
pokemon_name_Bagon,Bagon
pokemon_name_Shelgon,Shelgon
pokemon_name_Salamence,Salamence
pokemon_name_Beldum,Beldum
pokemon_name_Metang,Metang
pokemon_name_Metagross,Metagross
pokemon_name_Regirock,Regirock
pokemon_name_Regice,Regice
pokemon_name_Registeel,Registeel
pokemon_name_Latias,Latias
pokemon_name_Latios,Latios
pokemon_name_Kyogre,Kyogre
pokemon_name_Groudon,Groudon
pokemon_name_Rayquaza,Rayquaza
pokemon_name_Jirachi,Jirachi
pokemon_name_Deoxys,Deoxys
pokemon_name_Turtwig,Turtwig
pokemon_name_Grotle,Grotle
pokemon_name_Torterra,Torterra
pokemon_name_Chimchar,Chimchar
pokemon_name_Monferno,Monferno
pokemon_name_Infernape,Infernape
pokemon_name_Piplup,Piplup
pokemon_name_Prinplup,Prinplup
pokemon_name_Empoleon,Empoleon
pokemon_name_Starly,Starly
pokemon_name_Staravia,Staravia
pokemon_name_Staraptor,Staraptor
pokemon_name_Bidoof,Bidoof
pokemon_name_Bibarel,Bibarel
pokemon_name_Kricketot,Kricketot
pokemon_name_Kricketune,Kricketune
pokemon_name_Shinx,Shinx
pokemon_name_Luxio,Luxio
pokemon_name_Luxray,Luxray
pokemon_name_Budew,Budew
pokemon_name_Roserade,Roserade
pokemon_name_Cranidos,Koknodon
pokemon_name_Rampardos,Rameidon
pokemon_name_Shieldon,Shieldon
pokemon_name_Bastiodon,Bastiodon
pokemon_name_Burmy,Burmy
pokemon_name_Wormadam,Wormadam
pokemon_name_Mothim,Mothim
pokemon_name_Combee,Combee
pokemon_name_Vespiquen,Vespiquen
pokemon_name_Pachirisu,Pachirisu
pokemon_name_Buizel,Buizel
pokemon_name_Floatzel,Floatzel
pokemon_name_Cherubi,Cherubi
pokemon_name_Cherrim,Cherrim
pokemon_name_Shellos,Shellos
pokemon_name_Gastrodon,Gastrodon
pokemon_name_Ambipom,Ambipom
pokemon_name_Drifloon,Drifloon
pokemon_name_Drifblim,Drifblim
pokemon_name_Buneary,Buneary
pokemon_name_Lopunny,Lopunny
pokemon_name_Mismagius,Traunmagil
pokemon_name_Honchkrow,Kramshef
pokemon_name_Glameow,Glameow
pokemon_name_Purugly,Purugly
pokemon_name_Chingling,Chingling
pokemon_name_Stunky,Stunky
pokemon_name_Skuntank,Skuntank
pokemon_name_Bronzor,Bronzor
pokemon_name_Bronzong,Bronzong
pokemon_name_Bonsly,Bonsly
pokemon_name_Mime Jr.,Mime Jr.
pokemon_name_Happiny,Happiny
pokemon_name_Chatot,Chatot
pokemon_name_Spiritomb,Spiritomb
pokemon_name_Gible,Gible
pokemon_name_Gabite,Gabite
pokemon_name_Garchomp,Garchomp
pokemon_name_Munchlax,Munchlax
pokemon_name_Riolu,Riolu
pokemon_name_Lucario,Lucario
pokemon_name_Hippopotas,Hippopotas
