language_name,Norsk
pokemon_name_Hoppip,Hoppip
pokemon_name_Skiploom,Skiploom
pokemon_name_Jumpluff,Jumpluff
pokemon_name_Aipom,Aipom
pokemon_name_Sunkern,Sunkern
pokemon_name_Sunflora,Sunflora
pokemon_name_Yanma,Yanma
pokemon_name_Wooper,Wooper
pokemon_name_Quagsire,Quagsire
pokemon_name_Espeon,Espeon
pokemon_name_Umbreon,Umbreon
pokemon_name_Murkrow,Murkrow
pokemon_name_Slowking,Slowking
pokemon_name_Misdreavus,Misdreavus
pokemon_name_Unown,Unown
pokemon_name_Wobbuffet,Wobbuffet
pokemon_name_Girafarig,Girafarig
pokemon_name_Pineco,Pineco
pokemon_name_Forretress,Forretress
pokemon_name_Dunsparce,Dunsparce
pokemon_name_Gligar,Gligar
pokemon_name_Steelix,Steelix
pokemon_name_Snubbull,Snubbull
pokemon_name_Granbull,Granbull
pokemon_name_Qwilfish,Qwilfish
pokemon_name_Scizor,Scizor
pokemon_name_Shuckle,Shuckle
pokemon_name_Heracross,Heracross
pokemon_name_Sneasel,Sneasel
pokemon_name_Teddiursa,Teddiursa
pokemon_name_Ursaring,Ursaring
pokemon_name_Slugma,Slugma
pokemon_name_Magcargo,Magcargo
pokemon_name_Swinub,Swinub
pokemon_name_Piloswine,Piloswine
pokemon_name_Corsola,Corsola
pokemon_name_Remoraid,Remoraid
pokemon_name_Octillery,Octillery
pokemon_name_Delibird,Delibird
pokemon_name_Mantine,Mantine
pokemon_name_Skarmory,Skarmory
pokemon_name_Houndour,Houndour
pokemon_name_Houndoom,Houndoom
pokemon_name_Kingdra,Kingdra
pokemon_name_Phanpy,Phanpy
pokemon_name_Donphan,Donphan
pokemon_name_Porygon2,Porygon2
pokemon_name_Stantler,Stantler
pokemon_name_Smeargle,Smeargle
pokemon_name_Tyrogue,Tyrogue
pokemon_name_Hitmontop,Hitmontop
pokemon_name_Smoochum,Smoochum
pokemon_name_Elekid,Elekid
pokemon_name_Magby,Magby
pokemon_name_Miltank,Miltank
pokemon_name_Blissey,Blissey
pokemon_name_Raikou,Raikou
pokemon_name_Entei,Entei
pokemon_name_Suicune,Suicune
pokemon_name_Larvitar,Larvitar
pokemon_name_Pupitar,Pupitar
pokemon_name_Tyranitar,Tyranitar
pokemon_name_Lugia,Lugia
pokemon_name_Ho-Oh,Ho-Oh
pokemon_name_Celebi,Celebi
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
Story translation:
---
New Bark Town:
---
barktown.dat:
---
barktown_player_house,<playername>s Hus
